Maturity,Base Yield,Mean Reversion,Level Up,Level Down,Twist Up-to-Down,Twist Down-to-Up
1,-0.00069600,-0.00076274,-0.00002750,-0.00136450,-0.00115425,-0.00023775
2,-0.00045600,-0.00050687,0.00080028,-0.00171228,0.00009682,-0.00100882
3,-0.00044600,-0.00046316,0.00135372,-0.00224572,0.00076168,-0.00165368
4,-0.00009600,-0.00006775,0.00220348,-0.00239548,0.00150207,-0.00169407
5,0.00024400,0.00032485,0.00300125,-0.00251325,0.00203802,-0.00155002
6,0.00052400,0.00066133,0.00369933,-0.00265133,0.00237280,-0.00132480
7,0.00084400,0.00103934,0.00440036,-0.00271236,0.00264676,-0.00095876
8,0.00138400,0.00163720,0.00528716,-0.00251916,0.00307034,-0.00030234
9,0.00183400,0.00214377,0.00605255,-0.00238455,0.00335635,0.00031165
10,0.00219400,0.00255830,0.00669929,-0.00231129,0.00352179,0.00086621
11,0.00259382,0.00301174,0.00736485,-0.00217842,0.00370145,0.00148540
12,0.00303928,0.00350806,0.00805274,-0.00197656,0.00391820,0.00215875
13,0.00351360,0.00402913,0.00874453,-0.00171991,0.00416744,0.00285795
14,0.00400696,0.00456477,0.00943117,-0.00141896,0.00444485,0.00356782
15,0.00451400,0.00510977,0.01010930,-0.00108130,0.00474678,0.00428122
16,0.00502638,0.00565648,0.01077400,-0.00071919,0.00506403,0.00499037
17,0.00551738,0.00617969,0.01140500,-0.00036658,0.00536667,0.00567111
18,0.00596344,0.00665730,0.01198470,-0.00005364,0.00562748,0.00630293
19,0.00634706,0.00707309,0.01250065,0.00019658,0.00582519,0.00687159
20,0.00665400,0.00741399,0.01294314,0.00036486,0.00594166,0.00736634
21,0.00688149,0.00767751,0.01331089,0.00044716,0.00597342,0.00778525
22,0.00706204,0.00789355,0.01362805,0.00048620,0.00596326,0.00815219
23,0.00722616,0.00809041,0.01391799,0.00052097,0.00595023,0.00849032
24,0.00739525,0.00828818,0.01419788,0.00057750,0.00596041,0.00881673
25,0.00758472,0.00850159,0.01448081,0.00067356,0.00601160,0.00914450
26,0.00780642,0.00874209,0.01477737,0.00082198,0.00611662,0.00948425
27,0.00807032,0.00901946,0.01509677,0.00103309,0.00628577,0.00984529
28,0.00838588,0.00934298,0.01544783,0.00131657,0.00652863,0.01023658
29,0.00876318,0.00972251,0.01583979,0.00168293,0.00685559,0.01066753
30,0.00921400,0.01016947,0.01628304,0.00214496,0.00727923,0.01114877
31,0.00974381,0.01068930,0.01678293,0.00270792,0.00780472,0.01168579
32,0.01032800,0.01125918,0.01732122,0.00334067,0.00840115,0.01226012
33,0.01094239,0.01185656,0.01787963,0.00401313,0.00903864,0.01285330
34,0.01157012,0.01246572,0.01844533,0.00470445,0.00969646,0.01345239
35,0.01219946,0.01307568,0.01900938,0.00540023,0.01036021,0.01404840
36,0.01282237,0.01367890,0.01956561,0.00609059,0.01102000,0.01463518
37,0.01343337,0.01427027,0.02010986,0.00676885,0.01166909,0.01520859
38,0.01402887,0.01484643,0.02063939,0.00743060,0.01230304,0.01576597
39,0.01460661,0.01540528,0.02115253,0.00807307,0.01291900,0.01630567
40,0.01516531,0.01594561,0.02164835,0.00869464,0.01351527,0.01682685
41,0.01570434,0.01646687,0.02212645,0.00929449,0.01409099,0.01732917
42,0.01622356,0.01696894,0.02258682,0.00987240,0.01464585,0.01781266
